region,year_surv,year,month,day,strata,strata_area,set,trip,vessel,pandalus_borealis,chionoecetes_opilio_small,gadus_morhua,reinhardtius_hippoglossoides,sebastes_mentella,planktivores
Gulf,1971,1971,9,20,420,2656,47,,TEM,,,53.49166667,0,0,180.0146199
Gulf,1971,1971,9,21,421,1130,48,,TEM,,,57.98676471,0,0,0
Gulf,1971,1971,9,21,421,1130,49,,TEM,,,78.96388889,0,0,68.77192982
Gulf,1971,1971,9,18,422,4274,41,,TEM,,,159.1264706,0,0,2.031733746
Gulf,1971,1971,9,18,422,4274,42,,TEM,,,129.9083333,0,0,107.4561404
Gulf,1971,1971,9,18,422,4274,43,,TEM,,,78.8046875,0,0,34.53947368
Gulf,1971,1971,9,20,422,4274,44,,TEM,,,136.3434211,0,0,178.7569252
Gulf,1971,1971,9,15,423,11033,26,,TEM,,,57.91578947,0,0,0
Gulf,1971,1971,9,15,423,11033,27,,TEM,,,3.43875,0,0,0
Gulf,1971,1971,9,17,423,11033,36,,TEM,,,117.1722222,0,0,0
Gulf,1971,1971,9,14,424,3608,20,,TEM,,,26.36375,0,0,0
Gulf,1971,1971,9,14,424,3608,23,,TEM,,,14.90125,0,0,0
Gulf,1971,1971,9,14,425,2165,22,,TEM,,,0,5.833333333,279.535865,0
Gulf,1971,1971,9,16,425,2165,35,,TEM,,,29.8025,0,188.2911392,0
Gulf,1971,1971,9,14,426,1333,24,,TEM,,,30.56666667,0,0,0
Gulf,1971,1971,9,14,426,1333,25,,TEM,,,14.00972222,0,0,0
Gulf,1971,1971,9,16,427,3268,33,,TEM,,,37.253125,0,0,0.719572368
Gulf,1971,1971,9,16,427,3268,34,,TEM,,,127.5203125,0,0,137.4383224
Gulf,1971,1971,9,15,428,694,28,,TEM,,,1.14625,0,0,0
Gulf,1971,1971,9,15,428,694,29,,TEM,,,1.14625,0,0,4.375
Gulf,1971,1971,9,17,429,5827,37,,TEM,,,29.475,0,0,0
Gulf,1971,1971,9,17,429,5827,38,,TEM,,,18.6265625,0,0,25.18503289
Gulf,1971,1971,9,17,429,5827,39,,TEM,,,0,0,0,0
Gulf,1971,1971,9,17,429,5827,40,,TEM,,,29.17727273,0,0,52.33253589
Gulf,1971,1971,9,27,431,4876,52,,TEM,,,34.3875,0,0,12.23273026
Gulf,1971,1971,9,27,431,4876,53,,TEM,,,90.42638889,0,0,1.279239766
Gulf,1971,1971,9,27,431,4876,54,,TEM,,,5.73125,0,0,0
Gulf,1971,1971,9,30,432,1034,66,,TEM,,,1.6375,0,0,6.25
Gulf,1971,1971,9,30,432,1034,67,,TEM,,,26.97058824,0,0,2.058823529
Gulf,1971,1971,9,30,433,4082,64,,TEM,,,0,0,0,0
Gulf,1971,1971,9,30,433,4082,65,,TEM,,,4.9125,0,0,35.36184211
Gulf,1971,1971,9,26,434,4161,50,,TEM,,,1.6375,0,0,1.644736842
Gulf,1971,1971,9,27,434,4161,55,,TEM,,,2.865625,0,0,0
Gulf,1971,1971,9,15,435,2196,30,,TEM,,,1.4328125,0,0,1.09375
Gulf,1971,1971,9,27,435,2196,51,,TEM,,,24.19861111,0,0,0
Gulf,1971,1971,9,29,436,3292,60,,TEM,,,24.3578125,0,0,0
Gulf,1971,1971,9,29,436,3292,61,,TEM,,,14.83382353,0,0,0
Gulf,1971,1971,9,28,437,1701,59,,TEM,,,0,0,2.876869965,1.046650718
Gulf,1971,1971,9,29,437,1701,62,,TEM,,,0,0,2.109704641,0
Gulf,1971,1971,9,29,437,1701,63,,TEM,,,2.865625,0,0,0.719572368
Gulf,1971,1971,9,16,438,577,31,,TEM,,,87.115,0,8.438818565,0
Gulf,1971,1971,9,28,438,577,58,,TEM,,,24.27352941,0,0,10.15866873
Gulf,1971,1971,9,28,439,1213,56,,TEM,,,0,0,690.6180194,0
Gulf,1971,1971,9,28,439,1213,57,,TEM,,,0,0,734.8804501,0
Gulf,1972,1972,9,24,415,2625,63,,TEM,,,14.672,0,88.60759494,0
Gulf,1972,1972,9,24,415,2625,64,,TEM,,,45.85,0,934.4750558,0
Gulf,1972,1972,9,24,415,2625,66,,TEM,,,40.9375,0,1460.216998,0
Gulf,1972,1972,9,22,416,3666,55,,TEM,,,204.8921875,0,0,0
Gulf,1972,1972,9,22,416,3666,56,,TEM,,,54.18636364,0,0,1.046650718
Gulf,1972,1972,9,22,416,3666,57,,TEM,,,183.4,0,0,0
Gulf,1972,1972,9,24,416,3666,65,,TEM,,,10.18888889,0,3.516174402,0
Gulf,1972,1972,9,24,416,3666,67,,TEM,,,94.75666667,0,44.30379747,0
Gulf,1972,1972,9,24,416,3666,68,,TEM,,,75.51764706,0,0,0
Gulf,1972,1972,9,21,417,1804,51,,TEM,,,88.64333333,0,0,72.14912281
Gulf,1972,1972,9,23,417,1804,62,,TEM,,,2.413157895,0,0,0
Gulf,1972,1972,9,25,417,1804,69,,TEM,,,10.0296875,0,0,0
Gulf,1972,1972,9,25,417,1804,70,,TEM,,,10.78823529,0,0,0
Gulf,1972,1972,9,25,417,1804,71,,TEM,,,0,0,0,0
Gulf,1972,1972,9,25,417,1804,72,,TEM,,,571.7764706,0,0,9.156346749
Gulf,1972,1972,9,23,418,1354,60,,TEM,,,99.79117647,0,0,218.75
Gulf,1972,1972,9,23,418,1354,61,,TEM,,,20.37777778,0,0,0
Gulf,1972,1972,9,25,418,1354,73,,TEM,,,157.9277778,0,0,91.46564327
Gulf,1972,1972,9,23,419,1522,58,,TEM,,,66.07794118,0,0,15.57662539
Gulf,1972,1972,9,23,419,1522,59,,TEM,,,103.8367647,0,0,0
Gulf,1972,1972,9,19,420,2656,40,,TEM,,,66.07794118,0,0,73.54876161
Gulf,1972,1972,9,20,420,2656,45,,TEM,,,36.41029412,0,0,0
Gulf,1972,1972,9,20,420,2656,46,,TEM,,,31.521875,0,0,13.78700658
Gulf,1972,1972,9,19,421,1130,38,,TEM,,,67.62875,0,0,25.74342105
Gulf,1972,1972,9,19,421,1130,39,,TEM,,,292.9305556,0,0,70.74195906
Gulf,1972,1972,9,19,422,4274,41,,TEM,,,275.1,0,0,5.439967105
Gulf,1972,1972,9,20,422,4274,42,,TEM,,,188.7941176,0,0,10.83591331
Gulf,1972,1972,9,20,422,4274,43,,TEM,,,471.9852941,0,0,31.83049536
Gulf,1972,1972,9,20,422,4274,44,,TEM,,,391.1578125,0,0,39.57648026
Gulf,1972,1972,9,20,422,4274,47,,TEM,,,136.2763889,0,0,0
Gulf,1972,1972,9,13,423,11033,28,,TEM,,,42.02916667,0,0,2.558479532
Gulf,1972,1972,9,13,423,11033,29,,TEM,,,2.2925,0,0,0
Gulf,1972,1972,9,13,423,11033,30,,TEM,,,12.73611111,0,0,0
Gulf,1972,1972,9,21,423,11033,48,,TEM,,,26.51190476,0,0,0
Gulf,1972,1972,9,21,424,3608,49,,TEM,,,118.6705882,0,0,0
Gulf,1972,1972,9,21,424,3608,50,,TEM,,,34.99078947,0,0,0
Gulf,1972,1972,9,22,424,3608,53,,TEM,,,0,0,0,0
Gulf,1972,1972,9,10,425,2165,21,,TEM,,,0,0,138.8888889,0
Gulf,1972,1972,9,12,425,2165,22,,TEM,,,1.6375,2.5,386.5280289,0
Gulf,1972,1972,9,10,426,1333,20,,TEM,,,51.24411765,0,0,0
Gulf,1972,1972,9,22,426,1333,54,,TEM,,,117.6816667,0,0,0
Gulf,1972,1972,9,12,427,3268,23,,TEM,,,39.10735294,0,0,0
Gulf,1972,1972,9,12,427,3268,24,,TEM,,,0,0,0,0
Gulf,1972,1972,9,12,428,694,25,,TEM,,,6.368055556,0,0,0
Gulf,1972,1972,9,13,428,694,27,,TEM,,,66.71296296,0,0,0
Gulf,1972,1972,9,13,429,5827,31,,TEM,,,24.07125,0,0,0
Gulf,1972,1972,9,13,429,5827,32,,TEM,,,26.54473684,0,0,3.029778393
Gulf,1972,1972,9,14,429,5827,33,,TEM,,,13.94907407,0,0,0.91374269
Gulf,1972,1972,9,14,431,4876,34,,TEM,,,0,0,0,0
Gulf,1972,1972,9,14,431,4876,35,,TEM,,,0,0,0,0
Gulf,1972,1972,9,14,431,4876,36,,TEM,,,19.10416667,0,0,0
Gulf,1972,1972,9,6,432,1034,1,,TEM,,,57.3125,0,0,0
Gulf,1972,1972,9,6,432,1034,2,,TEM,,,415.0631579,0,0,37.76315789
Gulf,1972,1972,9,6,433,4082,3,,TEM,,,19.10416667,0,0,0
Gulf,1972,1972,9,6,433,4082,4,,TEM,,,0,0,0,0
Gulf,1972,1972,9,7,433,4082,5,,TEM,,,1.348529412,0,0,2.708978328
Gulf,1972,1972,9,14,434,4161,37,,TEM,,,16.18235294,0,0,0
Gulf,1972,1972,9,7,434,4161,6,,TEM,,,148.3382353,0,0,0
Gulf,1972,1972,9,7,434,4161,7,,TEM,,,9.439705882,0,0,0
Gulf,1972,1972,9,9,435,2196,16,,TEM,,,20.059375,0,0,0
Gulf,1972,1972,9,9,435,2196,17,,TEM,,,1.206578947,0,0,0
Gulf,1972,1972,9,8,436,3292,12,,TEM,,,10.69833333,0,0,0
Gulf,1972,1972,9,8,436,3292,13,,TEM,,,3.619736842,0,0,0
Gulf,1972,1972,9,8,437,1701,11,,TEM,,,38.6859375,0,0,0
Gulf,1972,1972,9,7,437,1701,8,,TEM,,,3.619736842,0,0,0
Gulf,1972,1972,9,8,437,1701,9,,TEM,,,0,0,0,0
Gulf,1972,1972,9,8,438,577,14,,TEM,,,49.125,0,0,0
Gulf,1972,1972,9,9,438,577,19,,TEM,,,153.5975,0,0,0
Gulf,1972,1972,9,8,439,1213,10,,TEM,,,1.348529412,0,3.723008191,0
Gulf,1972,1972,9,9,439,1213,18,,TEM,,,48.90666667,0,158.2278481,1.166666667
Gulf,1973,1973,9,23,415,2625,71,,TEM,,,11.4625,0,1107.594937,0
Gulf,1973,1973,9,23,415,2625,72,,TEM,,,0,0,930.3797468,0
Gulf,1973,1973,9,23,415,2625,73,,TEM,,,0,7,227.8481013,0
Gulf,1973,1973,9,21,416,3666,61,,TEM,,,114.625,0,0,0
Gulf,1973,1973,9,21,416,3666,62,,TEM,,,57.3125,0,0,0
Gulf,1973,1973,9,23,416,3666,68,,TEM,,,364.1029412,0,0,0
Gulf,1973,1973,9,23,416,3666,69,,TEM,,,236.4140625,0,0,0
Gulf,1973,1973,9,23,416,3666,70,,TEM,,,95.52083333,0,92.29957806,0
Gulf,1973,1973,9,24,416,3666,74,,TEM,,,45.85,0,5.274261603,0
Gulf,1973,1973,9,20,417,1804,53,,TEM,,,771.8083333,0,0,17.34649123
Gulf,1973,1973,9,20,417,1804,54,,TEM,,,36.93472222,0,0,0
Gulf,1973,1973,9,20,417,1804,55,,TEM,,,17.83055556,0,0,0
Gulf,1973,1973,9,20,417,1804,56,,TEM,,,182.0514706,0,0,0.677244582
Gulf,1973,1973,9,21,417,1804,59,,TEM,,,131.1819444,0,0,0
Gulf,1973,1973,9,21,417,1804,60,,TEM,,,39.48194444,0,0,0
Gulf,1973,1973,9,19,418,1354,50,,TEM,,,33.11388889,0,0,0
Gulf,1973,1973,9,19,418,1354,51,,TEM,,,312.92625,0,0,98.85197368
Gulf,1973,1973,9,19,418,1354,52,,TEM,,,91.7,0,0,51.3998538
Gulf,1973,1973,9,19,419,1522,48,,TEM,,,96.06666667,0,0,0
Gulf,1973,1973,9,19,419,1522,49,,TEM,,,49.46973684,0,0,0
Gulf,1973,1973,9,18,420,2656,45,,TEM,,,118.4458333,0,0,19.03508772
Gulf,1973,1973,9,18,420,2656,46,,TEM,,,9.825,0,0,0
Gulf,1973,1973,9,18,420,2656,47,,TEM,,,342.2375,0,0,21.44736842
Gulf,1973,1973,9,13,421,1130,43,,TEM,,,22.925,0,0,56.28654971
Gulf,1973,1973,9,18,421,1130,44,,TEM,,,36.68,0,0,28.875
Gulf,1973,1973,9,13,422,4274,38,,TEM,,,89.15277778,0,0,12.15277778
Gulf,1973,1973,9,13,422,4274,39,,TEM,,,18.6265625,0,0,0
Gulf,1973,1973,9,13,422,4274,41,,TEM,,,272.8075,0,0,0
Gulf,1973,1973,9,13,422,4274,42,,TEM,,,60.43863636,0,0,2.909688995
Gulf,1973,1973,9,20,422,4274,57,,TEM,,,393.5458333,0,0,3.837719298
Gulf,1973,1973,9,10,423,11033,26,,TEM,,,142.8403846,0,0,0
Gulf,1973,1973,9,12,423,11033,34,,TEM,,,37.11666667,0,0,0
Gulf,1973,1973,9,12,423,11033,36,,TEM,,,15.68552632,0,0,0
Gulf,1973,1973,9,22,423,11033,66,,TEM,,,10.78823529,0,0,0
Gulf,1973,1973,9,12,424,3608,37,,TEM,,,7.641666667,0,0,0
Gulf,1973,1973,9,21,424,3608,58,,TEM,,,32.095,0,0,0
Gulf,1973,1973,9,22,424,3608,67,,TEM,,,0,0,0,0
Gulf,1973,1973,9,22,425,2165,63,,TEM,,,0,0,76.32166791,0
Gulf,1973,1973,9,22,425,2165,64,,TEM,,,0,1.842105263,962.691539,0
Gulf,1973,1973,9,9,426,1333,23,,TEM,,,22.925,0,0,0
Gulf,1973,1973,9,22,426,1333,65,,TEM,,,31.26136364,0,0,0
Gulf,1973,1973,9,9,427,3268,22,,TEM,,,8.336363636,0,0,0
Gulf,1973,1973,9,9,427,3268,24,,TEM,,,0,0,0,0
Gulf,1973,1973,9,10,428,694,25,,TEM,,,37.75882353,0,0,0
Gulf,1973,1973,9,10,428,694,27,,TEM,,,2.084090909,0,0,0
Gulf,1973,1973,9,11,429,5827,31,,TEM,,,12.13676471,0,0,0
Gulf,1973,1973,9,12,429,5827,32,,TEM,,,98.44264706,0,0,0
Gulf,1973,1973,9,12,429,5827,33,,TEM,,,139.8425,0,0,0
Gulf,1973,1973,9,10,431,4876,28,,TEM,,,0,0,0,0
Gulf,1973,1973,9,10,431,4876,29,,TEM,,,42.79333333,0,0,4.605263158
Gulf,1973,1973,9,11,431,4876,30,,TEM,,,8.915277778,0,0,0
Gulf,1973,1973,8,5,432,1034,1,,TEM,,,6.55,0,0,46.75438596
Gulf,1973,1973,9,5,432,1034,2,,TEM,,,2.697058824,0,0,23.67647059
Gulf,1973,1973,9,5,433,4082,3,,TEM,,,0,0,0,7.777777778
Gulf,1973,1973,9,5,433,4082,4,,TEM,,,0,0,0,160.1006192
Gulf,1973,1973,9,5,433,4082,5,,TEM,,,2.413157895,0,0,1.211911357
Gulf,1973,1973,9,7,434,4161,12,,TEM,,,1.4328125,0,0,0
Gulf,1973,1973,9,6,434,4161,6,,TEM,,,1.091666667,0,0,0
Gulf,1973,1973,9,6,434,4161,7,,TEM,,,1.348529412,0,0,0
Gulf,1973,1973,9,7,435,2196,10,,TEM,,,7.641666667,0,0,0.639619883
Gulf,1973,1973,9,7,435,2196,11,,TEM,,,16.0475,0,0,0
Gulf,1973,1973,9,7,435,2196,9,,TEM,,,20.74166667,0,0,0.548245614
Gulf,1973,1973,9,8,436,3292,19,,TEM,,,4.2984375,0,0,0
Gulf,1973,1973,9,9,436,3292,20,,TEM,,,3.43875,0,0,0
Gulf,1973,1973,9,7,437,1701,13,,TEM,,,0,0,0,0
Gulf,1973,1973,9,7,437,1701,14,,TEM,,,1.273611111,0,3.516174402,0
Gulf,1973,1973,9,8,437,1701,16,,TEM,,,15.28333333,0,2.109704641,0
Gulf,1973,1973,9,8,438,577,17,,TEM,,,3.820833333,0,0,0
Gulf,1973,1973,9,9,438,577,21,,TEM,,,27.51,0,0,0
Gulf,1973,1973,9,8,439,1213,15,,TEM,,,28.31911765,0,85.62918838,0
Gulf,1973,1973,9,8,439,1213,18,,TEM,,,0,0,84.94337109,0
Gulf,1974,1974,9,19,415,2625,41,,TEM,,,38.61052632,0.921052632,486.3424384,0
Gulf,1974,1974,9,19,415,2625,42,,TEM,,,17.53088235,0,772.5241996,0
Gulf,1974,1974,9,19,415,2625,43,,TEM,,,7.053846154,0,1270.691334,0
Gulf,1974,1974,9,21,416,3666,51,,TEM,,,42.32307692,0,63.29113924,0
Gulf,1974,1974,9,21,416,3666,52,,TEM,,,116.9175,0,0,0
Gulf,1974,1974,9,21,416,3666,53,,TEM,,,492.8875,0,0,0
Gulf,1974,1974,9,23,416,3666,58,,TEM,,,51.14038462,0,0,0
Gulf,1974,1974,9,23,417,1804,59,,TEM,,,180.3433333,0,0,41.44736842
Gulf,1974,1974,9,23,417,1804,61,,TEM,,,96.285,0,0,1.535087719
Gulf,1974,1974,9,24,417,1804,62,,TEM,,,22.925,0,0,0
Gulf,1974,1974,9,24,417,1804,63,,TEM,,,27.51,0,0,0
Gulf,1974,1974,9,24,417,1804,64,,TEM,,,37.40394737,0,0,0
Gulf,1974,1974,9,24,417,1804,65,,TEM,,,31.37105263,0,0,101.1945983
Gulf,1974,1974,9,20,418,1354,47,,TEM,,,77.69027778,0,0,1.918859649
Gulf,1974,1974,9,20,418,1354,48,,TEM,,,22.925,0,0,0.76754386
Gulf,1974,1974,9,20,419,1522,45,,TEM,,,287.3266667,0,0,4.605263158
Gulf,1974,1974,9,20,419,1522,46,,TEM,,,306.04875,0,0,37.99342105
Gulf,1974,1974,9,25,420,2656,68,,TEM,,,64.40833333,0,0,9.978070175
Gulf,1974,1974,9,26,420,2656,75,,TEM,,,241.3867647,0,0,3.765479876
Gulf,1974,1974,9,26,421,1130,73,,TEM,,,30.16447368,0,0,0
Gulf,1974,1974,9,26,421,1130,76,,TEM,,,6.55,0,0,11.25
Gulf,1974,1974,9,24,422,4274,67,,TEM,,,53.49166667,0,0,0
Gulf,1974,1974,9,25,422,4274,69,,TEM,,,90.35147059,0,0,5.417956656
Gulf,1974,1974,9,25,422,4274,70,,TEM,,,67.1375,0,0,0
Gulf,1974,1974,9,26,422,4274,74,,TEM,,,70.2078125,0,0,2.878289474
Gulf,1974,1974,9,11,423,11033,32,,TEM,,,3.820833333,0,0,0
Gulf,1974,1974,9,18,423,11033,39,,TEM,,,19.30526316,0,0,0
Gulf,1974,1974,9,22,423,11033,56,,TEM,,,43.15294118,0,0,0
Gulf,1974,1974,9,18,424,3608,40,,TEM,,,29.03833333,0,0,0
Gulf,1974,1974,9,21,424,3608,50,,TEM,,,38.79615385,0,4.868549172,0
Gulf,1974,1974,9,23,424,3608,57,,TEM,,,29.03833333,0,0,0
Gulf,1974,1974,9,10,425,2165,26,,TEM,,,3.820833333,0,417.721519,0.38377193
Gulf,1974,1974,9,10,425,2165,27,,TEM,,,9.825,0,205.6962025,0
Gulf,1974,1974,9,10,426,1333,28,,TEM,,,72.30192308,0,58.42259007,0
Gulf,1974,1974,9,21,426,1333,49,,TEM,,,66.22777778,0,70.32348805,0
Gulf,1974,1974,9,11,427,3268,29,,TEM,,,16.81166667,0,0,0
Gulf,1974,1974,9,22,427,3268,54,,TEM,,,54.0375,0,0,0
Gulf,1974,1974,9,11,428,694,30,,TEM,,,4.2984375,0,3.955696203,0
Gulf,1974,1974,9,11,428,694,31,,TEM,,,14.328125,0,0,0
Gulf,1974,1974,9,17,429,5827,36,,TEM,,,29.97884615,0,0,0
Gulf,1974,1974,9,18,429,5827,37,,TEM,,,104.2045455,0,0,0
Gulf,1974,1974,9,18,429,5827,38,,TEM,,,89.78958333,0,0,0
Gulf,1974,1974,9,17,431,4876,33,,TEM,,,55.40208333,0,0,0.959429825
Gulf,1974,1974,9,17,431,4876,34,,TEM,,,28.21538462,0,0,0.88562753
Gulf,1974,1974,9,17,431,4876,35,,TEM,,,64.19,0,0,0.76754386
Gulf,1974,1974,9,4,432,1034,1,,TEM,,,0,0,0,0.921052632
Gulf,1974,1974,9,4,432,1034,2,,TEM,,,0,0,0,10.5
Gulf,1974,1974,9,6,433,4082,3,,TEM,,,6.742647059,0,0,163.6764706
Gulf,1974,1974,9,6,433,4082,4,,TEM,,,74.06538462,0,0,0
Gulf,1974,1974,9,6,433,4082,5,,TEM,,,8.596875,0,0,0
Gulf,1974,1974,9,6,434,4161,6,,TEM,,,2.865625,0,0,0
Gulf,1974,1974,9,7,434,4161,7,,TEM,,,1.455555556,0,0,0
Gulf,1974,1974,9,7,434,4161,8,,TEM,,,1.348529412,0,0,0
Gulf,1974,1974,9,7,435,2196,12,,TEM,,,17.19375,0,0,3.597861842
Gulf,1974,1974,9,7,435,2196,13,,TEM,,,3.056666667,0,0,0
Gulf,1974,1974,9,9,436,3292,23,,TEM,,,18.6265625,0,0,0
Gulf,1974,1974,9,9,436,3292,25,,TEM,,,0,0,0,0
Gulf,1974,1974,9,7,437,1701,10,,TEM,,,0,0,0,0.677244582
Gulf,1974,1974,9,7,437,1701,11,,TEM,,,0,0,0,0
Gulf,1974,1974,9,7,437,1701,9,,TEM,,,1.528333333,0,0,0
Gulf,1974,1974,9,9,438,577,20,,TEM,,,110.3265625,0,0,0
Gulf,1974,1974,9,9,438,577,21,,TEM,,,3.275,0,0,0
Gulf,1974,1974,9,9,439,1213,22,,TEM,,,9.552083333,0,113.3966245,0
Gulf,1974,1974,9,9,439,1213,24,,TEM,,,45.85,0,52.74261603,0
Gulf,1975,1975,9,18,415,2625,49,,TEM,,,0,0,129.9133911,0
Gulf,1975,1975,9,18,415,2625,50,,TEM,,,0,6.176470588,266.1950856,0
Gulf,1975,1975,9,18,415,2625,51,,TEM,,,0,3.75,221.5189873,0
Gulf,1975,1975,9,17,416,3666,47,,TEM,,,19.86833333,0,0,0
Gulf,1975,1975,9,18,416,3666,48,,TEM,,,19.65,0,0,0
Gulf,1975,1975,9,19,416,3666,52,,TEM,,,70.2078125,2.1875,0,0
Gulf,1975,1975,9,19,416,3666,53,,TEM,,,31.521875,0,0,0
Gulf,1975,1975,9,19,417,1804,54,,TEM,,,19.65,0,0,27.96052632
Gulf,1975,1975,9,19,417,1804,55,,TEM,,,55.02,0,0,112.0614035
Gulf,1975,1975,9,19,417,1804,56,,TEM,,,12.34423077,0,0,0
Gulf,1975,1975,9,21,417,1804,64,,TEM,,,201.9583333,0,0,69.62719298
Gulf,1975,1975,9,19,418,1354,57,,TEM,,,12.06578947,0,0,0
Gulf,1975,1975,9,20,418,1354,60,,TEM,,,118.4458333,0,0,3.198099415
Gulf,1975,1975,9,20,418,1354,61,,TEM,,,53.49166667,0,0,0.639619883
Gulf,1975,1975,9,20,418,1354,62,,TEM,,,139.0783333,0,0,0
Gulf,1975,1975,9,20,419,1522,58,,TEM,,,25.91521739,0,0,0
Gulf,1975,1975,9,20,419,1522,59,,TEM,,,4.585,0,0,0
Gulf,1975,1975,9,16,420,2656,38,,TEM,,,34.88586957,0,0,1.001144165
Gulf,1975,1975,9,20,420,2656,63,,TEM,,,21.39666667,0,0,0
Gulf,1975,1975,9,21,420,2656,67,,TEM,,,8.1875,0,0,0
Gulf,1975,1975,9,16,421,1130,36,,TEM,,,58.45875,0,0,0
Gulf,1975,1975,9,16,421,1130,37,,TEM,,,48.39722222,0,0,3.837719298
Gulf,1975,1975,9,16,422,4274,39,,TEM,,,62.225,0,0,15.625
Gulf,1975,1975,9,16,422,4274,40,,TEM,,,138.69625,0,0,12.98684211
Gulf,1975,1975,9,21,422,4274,65,,TEM,,,382.0833333,0,0,81.49018467
Gulf,1975,1975,9,21,422,4274,66,,TEM,,,33.71323529,0,0,327.7863777
Gulf,1975,1975,9,21,422,4274,68,,TEM,,,283.5460526,0,0,10.30124654
Gulf,1975,1975,9,9,423,11033,26,,TEM,,,17.53088235,0,0,0
Gulf,1975,1975,9,17,423,11033,42,,TEM,,,3.056666667,0,0,0
Gulf,1975,1975,9,17,423,11033,43,,TEM,,,1.4328125,0,0,6.5625
Gulf,1975,1975,9,17,423,11033,44,,TEM,,,0,0,0,0
Gulf,1975,1975,9,10,424,3608,30,,TEM,,,6.252272727,0,0,0
Gulf,1975,1975,9,17,424,3608,45,,TEM,,,82.88269231,0,0,1.346153846
Gulf,1975,1975,9,17,424,3608,46,,TEM,,,42.575,0,0,0
Gulf,1975,1975,9,8,425,2165,21,,TEM,,,0,0,221.5189873,0
Gulf,1975,1975,9,10,425,2165,28,,TEM,,,53.49166667,0,185.6540084,0
Gulf,1975,1975,9,9,426,1333,23,,TEM,,,4.585,0,2.109704641,0
Gulf,1975,1975,9,10,426,1333,31,,TEM,,,4.2984375,0,0,0
Gulf,1975,1975,9,9,427,3268,22,,TEM,,,0,0,0,0
Gulf,1975,1975,9,10,427,3268,27,,TEM,,,0,0,0,0
Gulf,1975,1975,9,9,428,694,24,,TEM,,,6.113333333,0,0,0
Gulf,1975,1975,9,9,428,694,25,,TEM,,,81.875,0,0,0
Gulf,1975,1975,9,11,429,5827,32,,TEM,,,2.547222222,0,0,0
Gulf,1975,1975,9,11,429,5827,33,,TEM,,,0,0,0,2.158717105
Gulf,1975,1975,9,16,429,5827,41,,TEM,,,199.9569444,0,0,3.198099415
Gulf,1975,1975,9,6,431,4876,10,,TEM,,,35.42954545,0,0,0
Gulf,1975,1975,9,11,431,4876,34,,TEM,,,56.63823529,0,0,0
Gulf,1975,1975,9,6,431,4876,9,,TEM,,,14.328125,0,0,0
Gulf,1975,1975,9,3,432,1034,1,,TEM,,,0,0,0,24.79166667
Gulf,1975,1975,9,3,432,1034,2,,TEM,,,16.81166667,0,0,11.26754386
Gulf,1975,1975,9,3,433,4082,3,,TEM,,,16.18235294,0,0,0
Gulf,1975,1975,9,4,433,4082,4,,TEM,,,91.7,0,0,0
Gulf,1975,1975,9,4,433,4082,5,,TEM,,,5.73125,0,0,0.719572368
Gulf,1975,1975,9,6,434,4161,6,,TEM,,,7.641666667,0,0,0
Gulf,1975,1975,9,6,434,4161,7,,TEM,,,0,0,0,0
Gulf,1975,1975,9,6,434,4161,8,,TEM,,,8.091176471,0,0,0
Gulf,1975,1975,9,8,435,2196,19,,TEM,,,40.11875,0,0,1.09375
Gulf,1975,1975,9,11,435,2196,35,,TEM,,,61.13333333,0,0,0.972222222
